"id","name","kecamatan_id"
"1101012002","Ujong Mangki (Ujung Mangki)","01."
"1101012003","Ujong Padang (Ujung Padang)","01.01"
"1101012004","Gampong Drien (Kampung Drien)","01.01"
"1101012015","Darul Ikhsan","01.01"
"1101012016","Padang Beurahan (Padang Berahan)","01.01"
"1101012017","Gampong Baro (Kampung Baru)","01.01"
"1101022001","Fajar Harapan","01.02"
"1101022002","Krueng Batee","01.02"
"1101022003","Pasi Kuala Asahan","01.02"
"1101022004","Gunung Pulo (Gunong Pulo)","01.02"
"1101022005","Pulo Ie I","01.02"
"1101022006","Jambo Manyang","01.02"
"1101022007","Simpang Empat","01.02"
"1101022008","Limau Purut (Kota Fajar)","01.02"
"1101022009","Pulo Kambing","01.02"
"1101022010","Kampung Paya","01.02"
"1101022011","Krueng Batu","01.02"
"1101022012","Krueng Kluet","01.02"
"1101022013","Alur Mas","01.02"
"1101022014","Kampung Tinggi","01.02"
"1101022015","Ruak (Kampung Ruak)","01.02"
"1101022016","Simpang Lhee","01.02"
"1101022017","Suaq Geuringgeng (Geringgeng)","01.02"
"1101022018","Pasi Kuala Ba'u (Pasi Kuala Bau)","01.02"
"1101022019","Kedai Padang","01.02"
"1101022020","Kotafajar","01.02"
"1101022021","Gunung Pudung","01.02"
"1101032001","Suaq Bakung (Suaq Bakong)","01.03"
"1101032002","Rantau Binuang","01.03"
"1101032003","Barat Daya","01.03"
"1101032004","Sialang","01.03"
"1101032005","Kapeh","01.03"
"1101032006","Pulo Ie","01.03"
"1101032007","Kedai Runding","01.03"
"1101032008","Kedai Kandang","01.03"
"1101032009","Luar (Gampong Luar)","01.03"
"1101032010","Ujung","01.03"
"1101032011","Jua","01.03"
"1101032012","Pasi Meurapat (Pasi Merapat)","01.03"
"1101032013","Ujung Pasir","01.03"
"1101032014","Geulumbuk (Gelumbuk)","01.03"
"1101032015","Pasie Lembang (Pasi Lembang)","01.03"
"1101032016","Ujung Padang","01.03"
"1101032017","Indra Damai","01.03"
"1101042001","Bakau Hulu","01.04"
"1101042002","Padang Bakau","01.04"
"1101042003","Manggis Harapan","01.04"
"1101042004","Pasar Lama","01.04"
"1101042005","Apha","01.04"
"1101042006","Ujung Batu","01.04"
"1101042007","Pawoh","01.04"
"1101042008","Dalam","01.04"
"1101042009","Kota Palak","01.04"
"1101042010","Cacang","01.04"
"1101042011","Tengah Pisang","01.04"
"1101042012","Pisang","01.04"
"1101042013","Hulu Pisang","01.04"
"1101042014","Tengah Baru","01.04"
"1101042015","Lembah Baru","01.04"
"1101042016","Padang Baru","01.04"
"1101052001","Kuta Buloh II","01.05"
"1101052002","Kuta Buloh I","01.05"
"1101052003","Ie/Le Dingen","01.05"
"1101052004","Drien Jalo","01.05"
"1101052005","Jambo Papeun","01.05"
"1101052006","Buket Meuh","01.05"
"1101052007","Blang Kuala","01.05"
"1101052008","Rot Teungoh","01.05"
"1101052009","Alue Baro","01.05"
"1101052010","Ladang Tuha","01.05"
"1101052011","Lhok Mamplam","01.05"
"1101052012","Aron/Arun Tunggai","01.05"
"1101052013","Blang Teungoh","01.05"
"1101052014","Blang Bladeh","01.05"
"1101052015","Ie/Le Buboh","01.05"
"1101052016","Keude Meukek","01.05"
"1101052017","Kuta Baro (Abro)","01.05"
"1101052018","Tanjung Harapan","01.05"
"1101052019","Labuhan Tarok","01.05"
"1101052020","Lhok Aman","01.05"
"1101052021","Alue Meutuah","01.05"
"1101052022","Ladang Baro","01.05"
"1101052023","Labuhan Tarok II","01.05"
"1101062001","Dalam","01.06"
"1101062002","Subarang","01.06"
"1101062003","Kuta Baru (Kota Baru)","01.06"
"1101062004","Gunung Ketek","01.06"
"1101062005","Ladang Panton Luas","01.06"
